Time,SM_COSMOS,TA,NETRAD,G,LE,H,RH,TA_dl,NETRAD_dl,G_dl,LE_dl,H_dl,RH_dl,TA_day_mean,TA_day_max,TA_day_min,RH_day,RH_day_min,NETRAD_day,G_day,LE_day,H_day,SM1,P_mm,TS_day_MAX,NDVI,LE_FC
2013-01-17,0.497291666667,1.394,245.277,-9.167,5.975,70.169,0.75638,2.75328571429,271.952285714,0.357285714286,19.2494285714,106.413571429,0.691285714286,0.471083333333,4.064,-2.558,0.685104583333,0.54081,48.51875,-6.60054166667,4.36579166667,24.984875,0.4094775,0.0,3.647,0.3828,8.72692862465
2013-01-18,0.4345,-2.575,264.635,-14.875,18.146,48.465,0.67066,0.164,299.469285714,-8.63271428571,30.3211428571,158.706142857,0.540295714286,-0.588625,4.442,-4.633,0.60621125,0.38489,38.585,-10.437125,8.01104166667,34.2479166667,0.406245,0.0,3.137,0.38271875,26.50357269
2013-01-19,0.44916,6.499,253.845,-3.3,21.999,138.414,0.48398,8.86885714286,286.001857143,7.85371428571,19.3224285714,162.865714286,0.442661428571,7.41795833333,12.09,3.974,0.483884583333,0.3998,31.1795833333,0.462333333333,1.30858333333,17.109125,0.401144583333,0.0,4.055,0.3826375,32.1311636508
2013-01-20,0.42875,-4.123,194.977,-13.941,13.032,199.956,0.51181,-2.34114285714,286.803714286,-5.841,20.65,229.462428571,0.447,-0.44425,7.724,-4.893,0.526409166667,0.35971,43.12225,-7.0425,2.42716666667,71.2089583333,0.400287916667,0.0,4.105,0.38255625,19.0341981316
2013-01-21,0.401875,-9.101,73.095,-16.245,4.578,101.272,0.63356,-8.77514285714,222.611285714,-14.8362857143,18.7908571429,226.008571429,0.579667142857,-8.30783333333,-5.336,-11.808,0.646485416667,0.47198,41.7289166667,-14.9437083333,5.72466666667,86.3075833333,0.398325833333,0.0,2.931,0.382475,6.68650698638
2013-01-22,0.402416666667,-13.531,283.237,-16.269,3.275,225.182,0.66505,-11.4414285714,308.652142857,-14.9512857143,1.0536,232.4196,0.55748,-12.090875,-9.356,-14.813,0.607684166667,0.46798,48.8120416667,-15.8311666667,-0.105181818182,55.5495909091,0.38302375,0.0,1.622,0.38239375,4.78337928799
2013-01-23,0.436625,-9.846,41.997,-12.726,11.153,23.99,0.63452,-7.62871428571,100.048571429,-12.0152857143,7.06385714286,65.2257142857,0.592037142857,-7.76604166667,-2.865,-11.208,0.5940725,0.45556,0.819166666667,-12.4387916667,2.69520833333,15.793,0.370965,0.0,1.046,0.3823125,16.2897799081
2013-01-24,0.421916666667,-8.146,274.026,-11.709,-0.993,211.839,0.70929,-6.78514285714,262.281285714,-10.4982857143,14.3984285714,143.487142857,0.555852857143,-6.78891666667,-3.885,-9.858,0.573155833333,0.37623,46.59325,-10.988875,3.79529166667,38.8030416667,0.365615416667,0.0,0.966,0.38223125,-1.45034981159
2013-01-25,0.452791666667,-6.551,59.983,-9.742,-0.402,41.156,0.74546,-4.96371428571,147.012571429,-9.04671428571,-0.0148571428571,80.9147142857,0.705108571429,-5.05345833333,-2.575,-7.255,0.619344166667,0.42982,27.0942916667,-9.66383333333,1.41004166667,24.9620833333,0.3624675,0.0,1.064,0.38215,-0.587150679014
2013-01-26,0.463666666667,-4.7,283.116,-9.552,14.471,39.558,0.68156,-2.09471428571,320.638285714,-8.48271428571,13.6612857143,126.461285714,0.594451428571,-2.93945833333,1.209,-6.595,0.655073333333,0.47381,48.3178333333,-8.85108333333,3.39108333333,25.5260833333,0.361719166667,0.0166666666667,0.984,0.38206875,21.1359638707
2013-01-27,0.431916666667,-2.753,126.477,-8.164,4.154,36.486,0.76685,-0.542571428571,109.248285714,-7.77342857143,2.11885714286,29.9351428571,0.663762857143,-1.55695833333,3.74,-5.13,0.752254166667,0.563,12.57675,-8.21954166667,-4.61229166667,-11.8325454545,0.3619875,0.195833333333,0.915,0.3819875,6.06722368314
2013-01-28,0.48,10.489,34.643,-0.53,22.509,-28.077,0.91446,10.7175714286,33.8991428571,4.54342857143,-7.997,-28.4428571429,0.965487142857,9.91208333333,12.979,4.634,0.9707775,0.84684,11.405375,2.18808333333,-12.6013157895,-43.2121666667,0.396979583333,0.341666666667,2.307,0.38190625,32.8760563033
2013-01-29,0.546555555556,15.097,106.29,22.232,-10.14,23.024,0.90654,15.5611428571,72.1638571429,23.8232857143,-2.96328571429,17.4232857143,0.874765714286,14.8019166667,17.692,12.34,0.910322916667,0.82298,15.3516666667,19.5914583333,-8.14914285714,-8.30525,0.408597916667,0.00416666666667,5.836,0.381825,-14.8102186199
2013-01-30,0.520095238095,10.834,39.665,10.931,18.072,-33.334,0.97406,10.7445714286,83.1377142857,12.9061428571,32.6135714286,27.1605,0.907177142857,8.66995833333,18.549,-2.08,0.899188333333,0.77519,18.8981666667,8.99266666667,3.00083333333,13.2568,0.428234166667,1.0625,7.104,0.38174375,26.3954902267
2013-01-31,0.410173913043,-4.39,70.152,-16.402,-2.09,38.72,0.76059,-3.42628571429,134.640428571,-14.5871428571,6.397,75.4374285714,0.631592857143,-4.70525,-2.133,-10.455,0.708090833333,0.55037,28.9637083333,-14.3711666667,2.93095833333,44.5480833333,0.414275833333,0.0,5.382,0.3816625,-3.05259930134
2013-02-01,0.412608695652,-13.145,164.035,-16.294,8.245,127.156,0.75169,-11.8122857143,299.990428571,-14.6054285714,16.3802857143,198.323285714,0.704447142857,-11.8848333333,-9.556,-14.023,0.738686666667,0.64755,57.9771666667,-15.4177083333,4.65629166667,65.814875,0.402856666667,0.0,2.953,0.38158125,12.0424312151
2013-02-02,0.442541666667,-4.023,180.46,-10.526,10.774,72.145,0.78351,-2.87,118.868857143,-10.186,5.34014285714,40.4001428571,0.78072,-4.85579166667,-1.793,-9.511,0.798395416667,0.66021,28.74625,-11.456,0.172416666667,7.94195833333,0.393924583333,0.0,1.616,0.3815,15.7362224271
2013-02-03,0.43575,-6.413,79.71,-9.166,6.115,50.651,0.81098,-5.47228571429,60.5011428571,-8.864,0.754428571429,23.2347142857,0.83658,-6.34029166667,-3.951,-8.726,0.777456666667,0.69313,-1.903625,-8.959375,-2.7545,2.91629166667,0.394112916667,0.0,1.547,0.3816125,8.93140896062
2013-02-04,0.473125,-1.581,158.859,-8.183,9.25,26.853,0.63741,0.300857142857,165.662857143,-7.87057142857,18.3115714286,18.4685714286,0.684084285714,-1.38004166667,4.33,-6.02,0.728869583333,0.54172,28.7718333333,-7.91945833333,4.95895833333,-2.62145833333,0.393245,0.00833333333333,1.605,0.381725,13.5103079126
2013-02-05,0.451333333333,-1.876,105.425,-7.279,5.882,55.455,0.84868,-0.303,151.740285714,-6.74185714286,10.1407142857,54.8194285714,0.77712,0.25325,3.812,-2.805,0.776787916667,0.67514,28.810125,-6.36483333333,4.10404166667,16.7515,0.393387916667,0.0,1.71,0.3818375,8.59109525861
